probe,hour,value
031520061,0,0.128
031520061,1,0.128
031520061,2,0.128
031520061,3,0.13
031520061,4,0.128
031520061,5,0.129
031520061,6,0.132
031520061,7,0.127
031520061,8,0.128
031520061,9,0.129
031520061,10,0.125
031520061,11,0.129
031520061,12,0.129
031520061,13,0.127
031520061,14,0.13
031520061,15,0.127
031520061,16,0.129
031520061,17,0.126
031520061,18,0.128
031520061,19,0.126
031520061,20,0.129
031520061,21,0.132
031520061,22,0.128
031520061,23,0.13
031520091,0,0.148
031520091,1,0.147
031520091,2,0.147
031520091,3,0.148
031520091,4,0.145
031520091,5,0.148
031520091,6,0.151
031520091,7,0.149
031520091,8,0.146
031520091,9,0.141
031520091,10,0.147
031520091,11,0.146
031520091,12,0.146
031520091,13,0.144
031520091,14,0.146
031520091,15,0.145
031520091,16,0.142
031520091,17,0.141
031520091,18,0.145
031520091,19,0.146
031520091,20,0.145
031520091,21,0.15
031520091,22,0.142
031520091,23,0.142
031520101,0,0.146
031520101,1,0.146
031520101,2,0.145
031520101,3,0.144
031520101,4,0.147
031520101,5,0.148
031520101,6,0.144
031520101,7,0.143
031520101,8,0.14
031520101,9,0.142
031520101,10,0.14
031520101,11,0.137
031520101,12,0.138
031520101,13,0.137
031520101,14,0.136
031520101,15,0.142
031520101,16,0.137
031520101,17,0.139
031520101,18,0.139
031520101,19,0.139
031520101,20,0.138
031520101,21,0.142
031520101,22,0.143
031520101,23,0.138
031520111,0,0.128
031520111,1,0.124
031520111,2,0.127
031520111,3,0.126
031520111,4,0.126
031520111,5,0.125
031520111,6,0.126
031520111,7,0.123
031520111,8,0.12
031520111,9,0.12
031520111,10,0.123
031520111,11,0.124
031520111,12,0.122
031520111,13,0.124
031520111,14,0.124
031520111,15,0.121
031520111,16,0.123
031520111,17,0.122
031520111,18,0.118
031520111,19,0.123
031520111,20,0.126
031520111,21,0.125
031520111,22,0.122
031520111,23,0.121
031520121,0,0.125
031520121,1,0.122
031520121,2,0.122
031520121,3,0.122
031520121,4,0.13
031520121,5,0.128
031520121,6,0.12
031520121,7,0.118
031520121,8,0.119
031520121,9,0.117
031520121,10,0.117
031520121,11,0.119
031520121,12,0.114
031520121,13,0.115
031520121,14,0.116
031520121,15,0.119
031520121,16,0.114
031520121,17,0.116
031520121,18,0.116
031520121,19,0.118
031520121,20,0.121
031520121,21,0.121
031520121,22,0.118
031520121,23,0.119
031520122,0,0.139
031520122,1,0.14
031520122,2,0.141
031520122,3,0.14
031520122,4,0.141
031520122,5,0.14
031520122,6,0.142
031520122,7,0.138
031520122,8,0.134
031520122,9,0.137
031520122,10,0.133
031520122,11,0.135
031520122,12,0.136
031520122,13,0.139
031520122,14,0.134
031520122,15,0.137
031520122,16,0.136
031520122,17,0.136
031520122,18,0.138
031520122,19,0.144
031520122,20,0.142
031520122,21,0.137
031520122,22,0.141
031520122,23,0.135
031520271,0,0.156
031520271,1,0.156
031520271,2,0.158
031520271,3,0.154
031520271,4,0.157
031520271,5,0.159
031520271,6,0.156
031520271,7,0.156
031520271,8,0.156
031520271,9,0.159
031520271,10,0.159
031520271,11,0.158
031520271,12,0.158
031520271,13,0.158
031520271,14,0.157
031520271,15,0.157
031520271,16,0.16
031520271,17,0.156
031520271,18,0.156
031520271,19,0.159
031520271,20,0.158
031520271,21,0.155
031520271,22,0.158
031520271,23,0.158
031550071,0,0.123
031550071,1,0.125
031550071,2,0.124
031550071,3,0.125
031550071,4,0.128
031550071,5,0.124
031550071,6,0.125
031550071,7,0.124
031550071,8,0.123
031550071,9,0.125
031550071,10,0.122
031550071,11,0.125
031550071,12,0.121
031550071,13,0.122
031550071,14,0.123
031550071,15,0.124
031550071,16,0.121
031550071,17,0.122
031550071,18,0.123
031550071,19,0.123
031550071,20,0.12
031550071,21,0.121
031550071,22,0.123
031550071,23,0.118
031550121,0,0.126
031550121,1,0.131
031550121,2,0.127
031550121,3,0.126
031550121,4,0.131
031550121,5,0.131
031550121,6,0.126
031550121,7,0.124
031550121,8,0.124
031550121,9,0.123
031550121,10,0.119
031550121,11,0.125
031550121,12,0.12
031550121,13,0.121
031550121,14,0.119
031550121,15,0.12
031550121,16,0.125
031550121,17,0.123
031550121,18,0.122
031550121,19,0.123
031550121,20,0.126
031550121,21,0.126
031550121,22,0.122
031550121,23,0.122
066330221,0,0.116
066330221,1,0.116
066330221,2,0.117
066330221,3,0.116
066330221,4,0.119
066330221,5,0.116
066330221,6,0.115
066330221,7,0.114
066330221,8,0.115
066330221,9,0.115
066330221,10,0.112
066330221,11,0.116
066330221,12,0.114
066330221,13,0.113
066330221,14,0.112
066330221,15,0.114
066330221,16,0.114
066330221,17,0.109
066330221,18,0.114
066330221,19,0.115
066330221,20,0.113
066330221,21,0.116
066330221,22,0.113
066330221,23,0.115
066360161,0,0.138
066360161,1,0.137
066360161,2,0.135
066360161,3,0.139
066360161,4,0.134
066360161,5,0.141
066360161,6,0.134
066360161,7,0.135
066360161,8,0.136
066360161,9,0.13
066360161,10,0.134
066360161,11,0.133
066360161,12,0.132
066360161,13,0.132
066360161,14,0.133
066360161,15,0.133
066360161,16,0.132
066360161,17,0.135
066360161,18,0.133
066360161,19,0.141
066360161,20,0.133
066360161,21,0.132
066360161,22,0.137
066360161,23,0.134
